Country,Continent,Region,DevName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Total
Sao Tome and Principe,Africa,Middle Africa,Developing regions,1,0,0,0,1,1,1,0,0,1,2,0,0,1,8
Saudi Arabia,Asia,Western Asia,Developing regions,89,98,71,70,128,198,252,188,249,246,330,278,286,267,2750
Senegal,Africa,Western Africa,Developing regions,121,129,165,171,210,278,416,433,555,668,765,740,949,818,6418
Serbia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,3,50,259,365,271,299,395,297,1939
Seychelles,Africa,Eastern Africa,Developing regions,15,9,4,13,15,25,8,9,18,4,10,10,6,5,151
Sierra Leone,Africa,Western Africa,Developing regions,308,386,412,391,347,191,138,92,103,70,63,96,72,63,2732
Singapore,Asia,South-Eastern Asia,Developing regions,444,473,588,391,311,392,298,690,734,366,805,219,146,141,5998
Slovakia,Europe,Eastern Europe,Developed regions,460,585,615,501,597,369,241,215,125,128,135,134,136,105,4346
Slovenia,Europe,Southern Europe,Developed regions,24,22,16,18,17,23,11,29,18,27,12,13,36,20,286
Somalia,Africa,Eastern Africa,Developing regions,1568,1155,730,957,1364,1198,1061,1166,1015,1214,1528,1535,1582,2028,18101
South Africa,Africa,Southern Africa,Developing regions,1763,1899,1498,1245,1175,988,1111,1200,1123,1188,1238,959,1243,1240,17870
Spain,Europe,Southern Europe,Developed regions,93,79,87,89,133,126,124,137,169,195,174,179,262,331,2178
Sri Lanka,Asia,Southern Asia,Developing regions,6081,5861,5279,4892,4495,4930,4714,4123,4756,4547,4422,3309,3338,2394,63141
State of Palestine,Asia,Western Asia,Developing regions,238,343,266,323,376,453,627,441,481,400,654,555,533,462,6152
Sudan,Africa,Northern Africa,Developing regions,914,1105,1489,1862,1823,1310,1039,683,622,422,612,531,444,343,13199
Suriname,Latin America and the Caribbean,South America,Developing regions,16,22,22,22,17,15,16,20,9,12,13,11,16,4,215
Swaziland,Africa,Southern Africa,Developing regions,2,2,1,0,8,7,7,5,6,10,3,13,17,39,120
Sweden,Europe,Northern Europe,Developed regions,138,184,149,161,129,205,139,193,165,167,159,134,140,140,2203
Switzerland,Europe,Western Europe,Developed regions,471,383,276,346,337,270,258,308,357,328,285,266,243,201,4329
Syrian Arab Republic,Asia,Western Asia,Developing regions,924,1067,956,1085,1116,1458,1145,1056,919,917,1039,1005,650,1009,14346
Tajikistan,Asia,Central Asia,Developing regions,5,20,9,7,14,85,46,44,15,50,52,47,34,39,467
Thailand,Asia,South-Eastern Asia,Developing regions,258,309,547,439,392,575,500,487,519,512,499,396,296,400,6129
The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,237,291,353,638,443,285,256,211,191,198,188,130,126,112,3659
Togo,Africa,Western Africa,Developing regions,57,94,105,106,163,157,149,235,351,400,354,261,299,316,3047
Tonga,Oceania,Polynesia,Developing regions,0,6,2,5,5,2,0,1,0,5,5,2,3,5,41
Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,899,904,928,707,730,857,794,975,1002,1134,915,588,586,427,11446
Tunisia,Africa,Northern Africa,Developing regions,437,788,661,669,764,756,1065,869,950,1195,1299,1442,1503,1627,14025
Turkey,Asia,Western Asia,Developing regions,1101,1184,1301,1338,1736,2065,1638,1463,1122,1238,1492,1257,1068,729,18732
Turkmenistan,Asia,Central Asia,Developing regions,7,10,11,22,16,40,26,37,13,20,30,20,20,14,286
Tuvalu,Oceania,Polynesia,Developing regions,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4
Uganda,Africa,Eastern Africa,Developing regions,64,94,90,117,160,239,201,170,204,185,216,213,222,206,2381
Ukraine,Europe,Eastern Europe,Developed regions,3351,3514,3520,2759,2431,2270,1973,2218,1937,2367,3159,2515,2265,2487,36766
United Arab Emirates,Asia,Western Asia,Developing regions,27,41,37,32,41,31,42,37,33,37,86,60,54,46,604
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Developed regions,8840,11728,8046,6797,7533,7258,7140,8216,8979,8876,8724,6204,6195,5827,110363
United Republic of Tanzania,Africa,Eastern Africa,Developing regions,200,301,298,320,310,274,291,195,230,136,200,215,224,182,3376
